video,x0,y0,x1,y1
170627_174_F_01,251,44,623,416
170627_174_F_02,253,44,624,415
170627_174_F_03,245,42,617,415
170627_174_F_04,233,41,605,414
170627_174_F_05,261,40,635,415
170627_174_F_06,245,40,622,416
170627_174_F_07,225,40,601,417
170627_174_F_09,237,41,612,415
170627_174_F_10,236,40,611,416
170627_174_F_12,212,39,590,416
170627_174_F_15,255,39,632,415
170627_174_F_16,244,40,617,413
170627_174_M_01,266,82,646,462
170627_174_M_02,262,79,643,460
170627_174_M_03,277,84,655,462
170627_174_M_04,280,78,664,461
170627_174_M_05,271,79,652,459
170627_174_M_08,231,78,613,460
170627_174_M_09,253,82,632,461
170627_174_M_11,251,81,631,461
170627_174_M_12,239,78,619,458
170627_174_M_14,249,78,630,460
170627_174_M_15,257,78,640,461
170627_174_M_17,259,82,638,461
170630_173_F_1,253,41,628,417
170630_173_F_2,237,40,613,416
170630_173_F_4,219,42,595,418
170630_173_M_01,240,80,620,459
170630_173_M_03,250,79,633,463
170630_173_M_04,231,80,615,464
170630_173_M_06,224,79,606,462
170701_172_M_01,259,81,644,465
170702_172_F_1,231,40,605,415
170702_172_F_2,231,40,605,415
170703_172_F_1,216,42,590,415
170703_172_F_2,207,31,586,411
170703_172_F_5,236,41,613,417
170703_172_F_7,204,38,584,418
170703_172_F_9,218,35,597,414
170703_172_M_01,216,81,595,460
170703_172_M_03,251,82,629,460
170703_172_M_06,236,79,615,458
170703_172_M_08,259,81,638,461
